feature_name,importance_gain,importance_split
cd_15_prep_2,135593.9572,2554.342857
regiao_4,129208.586,2502.942857
cd_15_prep_3,118705.266,1369.057143
cd_16_prep_2,113099.2867,2412.914286
temp_3_sin,102689.2339,1732
cd_16_prep_6,101694.1744,1885.457143
cd_15_prep_6,99460.22829,1864.8
dem_6,87018.83791,2019.6
regiao_6,53554.42935,1999.257143
regiao_19,53110.55796,1483.2
regiao_19_mul_temp_1,52091.45436,1597.942857
regiao_12,47657.66135,1474.971429
hist_6_prep_1,44563.0855,803.3142857
cd_8,44499.51531,1490.2
prep_2_3rd_quantile,44166.52758,1344.342857
regiao_23,43963.25438,1350.971429
cd_14_prep_6,42583.83193,1225.171429
regiao_5,42501.38234,1594.028571
regiao_24,42045.70156,1639.428571
cd_6_prep_5,41173.15982,1289.457143
cd_13_prep_2,40213.82486,872.6571429
cd_16_prep_1,39806.25771,1257.885714
temp_3,38058.9502,989.1428571
cd_14_prep_2,37065.81317,1332.342857
cd_16_prep_5,36736.29166,1308.228571
regiao_8,36292.85387,1483.971429
cd_15_prep_5,35043.75632,1274.057143
temp_3_mul_temp_2,34731.21013,1355.514286
regiao_13,33831.31078,1290.571429
regiao_20,33395.34721,1377
temp_3_cos,32867.21307,1034.971429
regiao_15,30880.8078,1395.028571
regiao_26_prep_1,30713.55247,1105.4
cd_15_prep_1,30628.99043,1129.285714
regiao_7,29692.64382,611.0285714
prep_7_std,29529.43095,709.9428571
hist_2_prep_1,29440.60486,845.4857143
regiao_27_prep_1,29370.11596,783.8285714
prep_2_median,29248.70278,1016.971429
regiao_1_prep_3,29190.6031,1239.685714
cd_7,28722.31836,1279.514286
regiao_3,28042.17923,817.5714286
prep_8_std,27953.12428,1372.771429
regiao_16,27781.78394,1095.4
prep_5_median,27625.66745,958.2571429
prep_5_3rd_quantile,27273.66308,1021.028571
cd_5_mul_temp_1,27083.7806,716.6571429
regiao_14,26930.2205,1283.685714
cd_6_prep_4,26845.20008,926.6571429
prep_4_std,26706.21036,1097.2
cd_16_prep_3,26548.25225,1068.914286
regiao_22,26364.97724,1047.257143
prep_3_3rd_quantile,25698.7196,1171.942857
cd_4_prep_5,25554.74321,1066.8
cd_15_prep_7,25492.65305,1041.914286
regiao_21,25321.58264,1162.114286
prep_4_median,25293.23057,904.7142857
cd_16_prep_4,25085.38505,1123.314286
cd_5_prep_2,25084.01338,615.9714286
prep_4_max,24843.47047,1132.971429
prep_7_max,24794.82081,785.6
cd_10,24645.25013,946.4
cd_6_prep_2,24631.72942,881.8857143
regiao_10,24531.25576,1134.314286
cd_15_prep_4,24429.67208,1043.714286
cd_16_prep_7,24344.7379,1082.971429
regiao_18,24305.35096,1148.342857
regiao_1_prep_2,24222.61103,1118.628571
cd_19,24092.47516,1001.514286
prep_1_3rd_quantile,23733.41309,1051.285714
cd_max,23472.81495,1001.257143
regiao_1,23252.97382,937.1714286
regiao_27_prep_2,23048.019,808.2285714
regiao_26_prep_2,22946.85736,1013.942857
prep_1_median,22369.77531,880.6857143
regiao_11,22047.49673,940.3428571
cd_18,21911.7908,954.8285714
temp_1,21788.54786,995.0857143
regiao_1_prep_1,21606.46535,928.4857143
regiao_25_prep_2,21460.22038,685.8857143
cd_14_prep_4,21391.01444,959.3714286
cd_14_prep_5,21059.31624,1019.171429
cd_14_prep_1,20907.74828,937.9142857
prep_4_3rd_quantile,20373.54246,912.0857143
prep_7_1st_quantile,19714.4166,920.6285714
cd_14_prep_7,19546.3527,906.9142857
cd_6_prep_1,19530.02263,829.8571429
prep_5_1st_quantile,19219.64193,712.0571429
prep_7_3rd_quantile,18652.66082,721.5428571
hist_2_mul_temp_3,18317.72108,687.8285714
prep_2_mean,18120.89892,642.1142857
prep_3_mean,18034.59722,705.2
cd_5_prep_5,17965.63913,709.3714286
cd_2_prep_5,17738.12898,799.6
prep_7_min,17556.20187,809.7714286
prep_6_1st_quantile,17419.83848,773.9142857
cd_6_prep_3,17230.22871,736.3714286
prep_7_median,17228.78545,832.8571429
cd_5_prep_1,17066.58714,595.6285714
prep_2_max,16844.59285,779.8
hist_1_prep_1,16838.04839,576.0857143
cd_3_prep_5,16693.05213,755.2
prep_6_min,16558.04573,710.4571429
cd_5_prep_4,16488.13995,635.4571429
prep_3_median,16225.09045,698.1142857
cd_2_mul_temp_3,15973.01269,712.0571429
prep_8_max,15922.90331,687.8571429
cd_4_prep_4,15916.67495,741.7142857
cd_17_prep_1,15846.66643,557.6
prep_1_max,15793.14193,606.4571429
cd_14_prep_3,15758.14835,671.0285714
hist_2_prep_2,15645.94429,561.5142857
regiao_25_prep_1,15518.93227,544.8
prep_8_mean,15430.21798,685.2285714
cd_11,15421.42306,372.4
prep_7_mean,15372.7062,659.9142857
cd_17_prep_4,15323.50478,503.4857143
prep_4_1st_quantile,14836.82886,617
cd_13_prep_6,14753.52467,563.2285714
cd_5_prep_3,14565.16401,493.8857143
hist_6_prep_2,14528.2073,407.9428571
prep_8_3rd_quantile,14460.16715,570.2
temp_2,14354.10505,541.4571429
cd_5_prep_6,14350.0554,380.1714286
cd_5_prep_7,14061.76259,504.8285714
prep_6_max,14011.56636,622.6285714
cd_2_prep_1,13963.26116,659
cd_9,13944.91953,443.8571429
cd_3_prep_4,13932.35455,636
cd_6,13660.49311,591.3428571
prep_8_median,13541.83661,564.6285714
cd_4_prep_1,13472.80332,623.9428571
prep_2_std,13371.85808,589.2285714
regiao_2,13218.1628,419.9714286
cd_2_prep_2,13208.9287,579.5714286
prep_8_min,13170.93854,571
hist_2_prep_3,13152.05716,515.2285714
prep_5_mean,12922.71337,613.9714286
regiao_9,12891.07599,407.2
cd_6_prep_7,12812.14565,512.6857143
cd_3_prep_2,12696.09354,523.2
cd_2_prep_3,12674.1442,567.5428571
cd_2_prep_7,12659.40169,621.7142857
prep_6_median,12556.60132,558.6857143
cd_12,12519.33192,396.1714286
prep_4_mean,12453.71921,552.7142857
hist_max,12452.80217,464.3428571
cd_2_prep_4,12410.43254,616.4571429
cd_4_prep_2,12398.28155,575.8
prep_6_std,12277.84673,556.1714286
hist_6_prep_3,12233.85985,368.4571429
prep_2_1st_quantile,11875.83624,309.5142857
cd_4_prep_3,11721.76611,537.2857143
cd_13_prep_4,11720.8331,479.3142857
prep_6_3rd_quantile,11655.19848,504.1714286
cd_2_prep_8,11405.58324,476.4285714
cd_3_prep_1,11250.87612,528.9428571
cd_17_prep_2,11189.54519,347.8
prep_5_std,11137.23689,527.9142857
cd_2_prep_6,11058.19037,503.6571429
prep_1_std,10993.12037,426.3428571
prep_1_mean,10962.36737,460.9142857
prep_5_max,10904.4543,527.1428571
prep_8_1st_quantile,10835.71976,466.5428571
regiao_17,10803.82326,439.8857143
prep_6_mean,10693.22227,467.5428571
cd_3_prep_3,10357.23309,467.8
hist_1_prep_2,10164.61213,402.7142857
hist_1_prep_3,9983.679407,385.3142857
cd_13_prep_1,9937.571736,458.5714286
cd_17_prep_3,9686.322887,250.1714286
prep_1_1st_quantile,9545.432487,337.3428571
cd_6_prep_6,9306.137359,330.5428571
cd_13_prep_7,9216.536459,404.8857143
cd_4,9045.478425,399.1428571
prep_3_std,8884.346452,359.6857143
cd_4_prep_7,8345.610418,340.0857143
cd_5,8333.838362,247.0285714
cd_3,8311.748132,329.9714286
cd_2,8260.072543,357.4285714
cd_13_prep_3,8165.232194,198.5428571
cd_1_prep_7,8103.591996,306.9142857
cd_13_prep_5,7878.757887,355.7714286
cd_1_prep_1,7773.544951,290.9714286
prep_3_max,7376.421747,283.1142857
cd_3_prep_7,6679.531858,262.2857143
cd_17,6584.964578,235
cd_1_prep_2,6553.154316,236.1428571
cd_1_prep_5,6390.071294,187.5428571
cd_6_prep_8,5232.251939,203.0571429
cd_1_prep_3,5126.071241,206.0857143
cd_5_prep_8,4655.899042,181.7428571
hist_1,4275.474755,134.9714286
cd_4_prep_6,3936.805448,177.5714286
cd_1_prep_6,3873.14325,159.6571429
cd_1_prep_4,3768.402285,132.2857143
cd_3_prep_6,3244.161307,145.1142857
hist_2,3086.791801,122
hist_4_prep_2,2969.682675,105.6
prep_5_min,2928.887599,138.95
cd_4_prep_8,2693.832989,124.7714286
prep_4_min,2587.362602,122.95
cd_3_prep_8,2520.7284,106.9714286
hist_4_prep_1,2448.502756,108
hist_6,2396.819548,81.45714286
hist_3_prep_3,2396.534966,78.65714286
cd_1_prep_8,2280.235455,103.5428571
hist_3_prep_1,2270.738406,91.91428571
hist_3_prep_2,2061.567801,71.02857143
hist_4_prep_3,2049.760339,89.34285714
cd_1,1750.352663,63.28571429
dem_5,904.4021447,50
dem_min,819.034943,37.34285714
prep_3_1st_quantile,587.0566041,28.82857143
hist_3,54.14121346,3.4
hist_4,34.83781166,1.857142857
prep_3_min,0,0
prep_2_min,0,0
prep_1_min,0,0
hist_7_prep_3,0,0
hist_7_prep_2,0,0
hist_7_prep_1,0,0
hist_7,0,0
